"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time","\\dcnds0005337\ica session(_server total)\latency - last recorded","\\dcnds0005337\ica session(console (yuaaron))\latency - last recorded","\\dcnds0005337\ica session(_server total)\latency - session average","\\dcnds0005337\ica session(console (yuaaron))\latency - session average","\\dcnds0005337\ica session(_server total)\latency - session deviation","\\dcnds0005337\ica session(console (yuaaron))\latency - session deviation","\\dcnds0005337\ica session(_server total)\output session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\output session bandwidth","\\dcnds0005337\ica session(_server total)\input session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\input session bandwidth","\\dcnds0005337\ica session(_server total)\output session compression","\\dcnds0005337\ica session(console (yuaaron))\output session compression","\\dcnds0005337\ica session(_server total)\input session compression","\\dcnds0005337\ica session(console (yuaaron))\input session compression","\\dcnds0005337\ica session(_server total)\output session line speed","\\dcnds0005337\ica session(console (yuaaron))\output session line speed","\\dcnds0005337\ica session(_server total)\input session line speed","\\dcnds0005337\ica session(console (yuaaron))\input session line speed"
"03/30/2016 18:24:48.056","10000000000"," "," "," ","0","3631738880","9727582208","26082009088","37.29613840398337"," "," "," "," ","944603136","139751424"," "," "," ","0","1","0","1","0","0","40","40","8","8","37","35","20","16","0","118021224","0","0"
"03/30/2016 18:24:49.245","10000000000","5062.3241420011746","3794.4325021207146","1267.8916398804602","0","3581624320","9744400384","26082009088","37.360620307747972","51392.882733550847","0.84021977460600417","0.84021977460600417","0","943886336","140468224","68.817084678086815","100","54.39827445826846","0","1","0","1","0","0","4144","4144","0","0","24","24","0","0","0","118021224","0","0"
"03/30/2016 18:24:50.719","10000000000","2924.2301219058377","2384.4662614658237","539.76386044001413","0","3627094016","9743454208","26082009088","37.356992611749526","12525.237355216832","0","0","0","943882240","139649024","11.648604318115371","79.35019804197448","40.770111719310073","0","1","0","1","0","0","2104","2104","16","16","24","24","28","28","0","118021224","0","0"
"03/30/2016 18:24:51.731","10000000000","2565.6598574962595","2327.6598476207405","238.00000987551908","0","3626618880","9743351808","26082009088","37.356600003957482","25467.976160496935","0","0","0","943878144","139616256","15.413577219353163","66.090130117423044","50.864804823865441","0","1","0","1","0","0","1088","1088","24","24","24","24","33","33","0","118021224","0","0"
"03/30/2016 18:24:52.747","10000000000","5213.1828558339366","4350.8814620064204","862.30139382751679","0","3662761984","9743458304","26082009088","37.357008316061204","28788.66046104972","0","0","0","943857664","139616256","10.747025691131675","76.20301946183335","77.532118835360563","0","1","0","1","0","0","560","560","8","8","25","25","25","20","0","118021224","0","0"
"03/30/2016 18:24:53.877","10000000000","7189.7026320578943","4039.2284055750029","3150.4742264828915","0","3663122432","9744363520","26082009088","37.360478968942843","23137.705909471711","0","0","0","943841280","139583488","17.255026709718408","73.082160810467627","53.835669530392096","0","1","0","1","0","0","304","304","16","16","25","25","25","25","0","118021224","0","0"
"03/30/2016 18:24:55.002","10000000000","4073.5992636056039","3357.1862139730233","716.41304963258062","0","3693375488","9745797120","26082009088","37.365975478031395","11597.713984622718","0","0","0","943845376","139587584","6.2394116143941165","73.65579886455798","58.927813885278134","0","1","0","1","0","0","168","168","8","8","26","26","25","25","0","118021224","0","0"
"03/30/2016 18:24:56.013","10000000000","1757.3349179379045","1466.260852656922","291.0740652809825","0","3697598464","9743900672","26082009088","37.358704381722816","33653.706214391692","0","0","0","943837184","139587584","16.216309062163088","69.111801691118018","62.548606525486065","0","1","0","1","0","0","112","112","16","16","27","27","25","25","0","118021224","0","0"
"03/30/2016 18:24:57.146","10000000000","2709.3949394395977","2041.5304102452715","667.864529194326","0","3723780096","9745883136","26082009088","37.36630526857671","25823.50696105406","0","0","0","943837184","139616256","9.6372269216149871","66.26971018696895","58.511730468612456","0","1","0","1","0","0","80","80","8","8","36","36","25","25","0","118021224","0","0"
"03/30/2016 18:24:58.291","10000000000","6409.7703175828465","1603.0977964787412","4806.6725211041057","0","3905490944","9742241792","26082009088","37.352344135491776","15059.509436349068","0.87362277737261096","0.87362277737261096","0","943845376","139612160","17.030018060441346","56.403142586660429","27.929241147065092","0","1","0","1","0","0","17120","17120","16","16","47","47","28","25","0","118021224","0","0"
"03/30/2016 18:24:59.300","10000000000","4604.3508836468836","2320.0140806322329","2284.3368030146503","0","3910328320","9741803520","26082009088","37.350663774141843","1357.7186204468856","0","0","0","943058944","139603968","3.8649693173347299","5.6948695602709538","11.594888131801179","0","1","0","1","0","0","13696","13696","32","32","34","34","100","100","0","107883640","0","0"
"03/30/2016 18:25:00.408","10000000000","2526.0257817075126","2033.2747717709988","492.7510099365137","0","3910393856","9744568320","26082009088","37.361264184526924","1369.9561045487687","0","0","0","943067136","139661312","6.3351426590192963","28.201665393027486","13.374204095835903","0","1","0","1","0","0","6888","6888","32","32","34","34","50","50","0","102814848","0","0"
"03/30/2016 18:25:01.419","10000000000","3019.5007527982311","1983.9890304989358","1035.5117222992951","0","3910361088","9744777216","26082009088","37.362065104422683","1766.4029952498004","0","0","0","943067136","139657216","5.400093027294699","22.855884540131544","17.743141610665838","0","1","0","1","0","0","4984","4984","16","16","41","41","50","50","0","100280448","0","0"
"03/30/2016 18:25:02.430","10000000000","16352.262189805269","4373.5208226648028","11978.741367140465","0","3911069696","9741320192","26082009088","37.348810665363416","1396.8772428628768","0","0","0","943058944","139612160","10.028730064678992","20.541556131231587","20.057470019565798","0","1","0","1","0","0","36752","36752","24","24","22","22","37","37","0","99013256","0","0"
"03/30/2016 18:25:03.550","10000000000","120634.01711982278","56652.734778444232","63981.282341378552","0","3912327168","9740505088","26082009088","37.345685507338786","9778.2411325154771","32.138836918703298","4.4637273498199024","0","943054848","139624448","25.765450240690217","58.914563900752782","34.818169968717413","0","1","0","1","0","0","250032","250032","8","8","22","22","25","25","0","98379656","0","0"
"03/30/2016 18:25:04.678","10000000000","76240.776528266302","4339.5186175100416","71901.257910756263","0","3911532544","9742671872","26082009088","37.353993088218338","12049.588774095299","0","0","0","943042560","139620352","24.19985838295603","66.811616710669355","32.496963069650484","0","1","0","1","0","0","418504","418504","24","24","24","24","37","37","0","98289576","0","0"
"03/30/2016 18:25:05.695","10000000000","153510.86164354559","77288.922442315787","76221.93920122979","0","3911634944","9740619776","26082009088","37.346125228065866","10183.05203819859","0","0","0","943038464","139628544","26.074255897910703","68.557510030707846","45.246497965739316","0","1","0","1","0","0","479104","479104","48","48","24","24","120","120","0","135912296","0","0"
"03/30/2016 18:25:06.741","10000000000","114060.02935931725","49847.522075918743","64212.507283398518","0","3911659520","9741393920","26082009088","37.349093342973688","9233.608575338556","0","0","0","943038464","139587584","20.897565745817761","57.458531658795842","33.58537830427484","0","1","0","1","0","0","478224","478224","48","48","27","27","75","75","0","118772480","0","0"
"03/30/2016 18:25:07.761","10000000000","94186.252247810262","17041.452831640541","77144.799416169713","0","3911806976","9743060992","26082009088","37.355484997828093","11906.961607474124","0","0","0","943038464","139603968","29.027645717308779","60.277958492103778","42.777583162349778","0","1","0","1","0","0","494368","494368","80","80","24","24","100","100","0","97846384","0","0"
