"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time","\\dcnds0005337\ica session(_server total)\latency - last recorded","\\dcnds0005337\ica session(console (yuaaron))\latency - last recorded","\\dcnds0005337\ica session(_server total)\latency - session average","\\dcnds0005337\ica session(console (yuaaron))\latency - session average","\\dcnds0005337\ica session(_server total)\latency - session deviation","\\dcnds0005337\ica session(console (yuaaron))\latency - session deviation","\\dcnds0005337\ica session(_server total)\output session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\output session bandwidth","\\dcnds0005337\ica session(_server total)\input session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\input session bandwidth","\\dcnds0005337\ica session(_server total)\output session compression","\\dcnds0005337\ica session(console (yuaaron))\output session compression","\\dcnds0005337\ica session(_server total)\input session compression","\\dcnds0005337\ica session(console (yuaaron))\input session compression","\\dcnds0005337\ica session(_server total)\output session line speed","\\dcnds0005337\ica session(console (yuaaron))\output session line speed","\\dcnds0005337\ica session(_server total)\input session line speed","\\dcnds0005337\ica session(console (yuaaron))\input session line speed"
"03/30/2016 17:58:23.442","10000000000"," "," "," ","0","4105035776","9396183040","26082009088","36.02553395444933"," "," "," "," ","998154240","139657216"," "," "," ","0","2","0","2","0","0","32","32","8","8","26","25","20","16","0","168793408","0","0"
"03/30/2016 17:58:24.455","10000000000","2253.3292866184515","592.20217782350892","1661.1271087949426","0","4103864320","9395990528","26082009088","36.024795851800292","1466.6873937428904","0","0","0","998154240","139685888","2.3097492817352028","23.008192764139178","20.787792889023045","0","2","0","2","0","0","5840","5840","0","0","26","26","0","0","0","168793408","0","0"
"03/30/2016 17:58:25.464","10000000000","2915.3192893953824","1988.7987130579647","926.52057633741765","0","4103135232","9397612544","26082009088","36.031014759226203","5374.8102738547095","0","0","0","998146048","139632640","3.0918810993033499","12.654353989774458","19.324251915740042","0","2","0","2","0","0","2952","2952","16","16","26","26","28","28","0","168793408","0","0"
"03/30/2016 17:58:26.575","10000000000","2618.2147825360662","1760.4771793195414","857.73760321652503","0","4110086144","9388752896","26082009088","35.997046333058925","2962.9298948465903","0","0","0","998133760","139587584","4.9140360491403605","16.461468164614679","11.23207211232072","0","2","0","2","0","0","1488","1488","8","8","26","26","33","25","0","168793408","0","0"
"03/30/2016 17:58:27.684","10000000000","2067.0762175984901","1848.9198963342797","218.15632126421048","0","4109291520","9389670400","26082009088","36.000564098875607","2228.4397775418524","0","0","0","998133760","139608064","1.406541041116808","20.530426668784884","18.988308563192373","0","2","0","2","0","0","776","776","16","16","26","26","28","25","0","168793408","0","0"
"03/30/2016 17:58:28.801","10000000000","2726.8950531632518","2288.6920689382009","438.20298422505101","0","4112875520","9386004480","26082009088","35.986508739920581","2482.2541233198185","0","0","0","998133760","139649024","2.7954373021479215","27.318630144154042","16.772623812887527","0","2","0","2","0","0","400","400","8","8","27","27","33","25","0","168793408","0","0"
"03/30/2016 17:58:29.818","10000000000","2891.1857371053957","2667.0475704749874","224.13816663040808","0","4110831616","9386979328","26082009088","35.990246366100799","3342.4112567692432","39.322485373755804","2.9491864030316854","0","998187008","139653120","6.1351190348025177","12.574553754064121","15.337797587006294","0","2","0","2","0","0","232","232","16","16","27","27","28","25","0","168793408","0","0"
"03/30/2016 17:58:30.939","10000000000","1508.9940417490729","1272.5165603395494","236.47748140952356","0","4113416192","9385619456","26082009088","35.985032534622512","2400.4695282702583","0","0","0","998141952","139665408","6.9574220098061561","31.121526562776371","14.610581760735613","0","2","0","2","0","0","128","128","8","8","30","30","33","25","0","168793408","0","0"
"03/30/2016 17:58:31.950","10000000000","2433.2031338865081","1885.2378752795464","547.96525860696158","0","4112699392","9385328640","26082009088","35.983917528493123","2285.8261961023254","0","0","0","998141952","139632640","8.4858477554816236","22.855884540131544","14.657386882478912","0","2","0","2","0","0","96","96","16","16","30","30","28","25","0","168793408","0","0"
"03/30/2016 17:58:32.959","10000000000","4387.0749853879779","3222.671753440638","1164.4032319473399","0","4113178624","9385738240","26082009088","35.985487959661278","2067.1873547592777","0","0","0","998133760","139632640","2.3189157793834094","8.0165323408194382","6.1837621986066997","0","2","0","2","0","0","64","64","8","8","36","36","33","25","0","168793408","0","0"
"03/30/2016 17:58:33.968","10000000000","2162.7034605633053","1776.3295028813588","386.37395768194642","0","4111982592","9386786816","26082009088","35.989508263451761","2949.3212103055243","0","0","0","998133760","139640832","3.8648464192232912","12.654363899586251","9.2756432979100509","0","2","0","2","0","0","80","80","16","16","31","31","28","25","0","168793408","0","0"
"03/30/2016 17:58:34.986","10000000000","5383.1503170301203","2551.5680549967556","2831.5822620333652","0","4102815744","9395023872","26082009088","36.021089634243438","6035.5342941259414","0","0","0","998129664","139636736","6.1293681290616622","14.955012297948244","19.15427049199651","0","2","0","2","0","0","8272","8272","8","8","16","16","33","25","0","168793408","0","0"
"03/30/2016 17:58:36.100","10000000000","3958.8288976196582","2754.1240494097756","1204.7048482098824","0","4103880704","9394647040","26082009088","36.019644837568734","585.29624518095625","0","0","0","998129664","139665408","2.8005922855666658","16.682383992491591","13.302817844541556","0","2","0","2","0","0","4184","4184","16","16","16","16","28","25","0","168793408","0","0"
"03/30/2016 17:58:37.208","10000000000","2817.4772027559293","2489.8845619486256","327.59264080730378","0","4102569984","9396289536","26082009088","36.025942266553052","660.60003600811672","0","0","0","998129664","139665408","3.5195307184083036","15.531371050620567","11.966384588977926","0","2","0","2","0","0","2152","2152","24","24","16","16","33","30","0","168793408","0","0"
