"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time"
"03/31/2016 22:26:59.179","10000000000"," "," "," ","0","6062608384","7479508992","26082009088","28.676889754789737"," "," "," "," ","766779392","123379712"," "," "," "
"03/31/2016 22:27:00.193","10000000000","5718.532245362605","4166.3732948192801","1552.1589505433246","0","6064709632","7479898112","26082009088","28.678381664399488","1926.8860161128694","0","0","0","766783488","123400192","0.76915385384538471","1.5476756071927333","0.76915385384538471"
"03/31/2016 22:27:01.199","10000000000","6124.8552031350673","4893.3239475874616","1231.531255547606","0","6064201728","7479926784","26082009088","28.678491594581256","2315.9546613607117","0","0","0","766783488","123379712","0.7752803248502188","2.315305248799171","0.7752803248502188"
"03/31/2016 22:27:02.210","10000000000","6489.5946206161198","3147.2801371378559","3342.3144834782638","0","6064214016","7480111104","26082009088","28.679198288606926","1919.6527794621902","0","0","0","766783488","123396096","0.77220000772200015","1.1577654115776492","0.77220000772200015"
"03/31/2016 22:27:03.216","10000000000","2650.0066796867545","2264.3342896948338","385.6723899919208","0","6063960064","7479615488","26082009088","28.67729806689346","2308.0703339207221","0","0","0","766783488","123396096","1.550550710336521","3.8658559591357","1.550550710336521"
"03/31/2016 22:27:04.222","10000000000","9561.2576527833116","5962.9883209322261","3598.2693318510846","0","6064009216","7479869440","26082009088","28.678271734217713","1882.6304183773354","0","0","0","766783488","123400192","0.7752803248502188","3.0905756342854751","3.1011014206730421"
"03/31/2016 22:27:05.228","10000000000","10013.387961331266","6374.4150283916433","3638.9729329396237","0","6063976448","7481245696","26082009088","28.683548382942732","1996.9124890127571","0","0","0","766783488","123346944","2.3258210958228234","3.0905855736493959","0"
"03/31/2016 22:27:06.234","10000000000","351481.79359078576","17038.782463592051","334443.01112719369","0","6061223936","7485788160","26082009088","28.700964464597611","13983.292013639773","0","0","0","766783488","123117568","7.7527535516826047","36.427420876202646","29.460463496393903"
"03/31/2016 22:27:07.240","10000000000","46887.565958625186","5645.7511796190765","41241.814779006112","0","6052483072","7507357696","26082009088","28.783663369912865","37084.037105705655","0","0","0","767037440","123080704","18.606608524038251","48.831826558894811","29.460463496393903"
"03/31/2016 22:27:08.246","10000000000","4336.7677591782822","2429.3056161887971","1907.4621429894851","0","6052626432","7507558400","26082009088","28.784432881185261","229.61112820769728","0","0","0","767037440","123101184","0","3.0905756342854751","3.8763817455232608"
