"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time","\\dcnds0005337\ica session(_server total)\latency - last recorded","\\dcnds0005337\ica session(console (yuaaron))\latency - last recorded","\\dcnds0005337\ica session(_server total)\latency - session average","\\dcnds0005337\ica session(console (yuaaron))\latency - session average","\\dcnds0005337\ica session(_server total)\latency - session deviation","\\dcnds0005337\ica session(console (yuaaron))\latency - session deviation","\\dcnds0005337\ica session(_server total)\output session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\output session bandwidth","\\dcnds0005337\ica session(_server total)\input session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\input session bandwidth","\\dcnds0005337\ica session(_server total)\output session compression","\\dcnds0005337\ica session(console (yuaaron))\output session compression","\\dcnds0005337\ica session(_server total)\input session compression","\\dcnds0005337\ica session(console (yuaaron))\input session compression","\\dcnds0005337\ica session(_server total)\output session line speed","\\dcnds0005337\ica session(console (yuaaron))\output session line speed","\\dcnds0005337\ica session(_server total)\input session line speed","\\dcnds0005337\ica session(console (yuaaron))\input session line speed"
"03/30/2016 15:15:54.801","10000000000"," "," "," ","0","6938152960","6480007168","26082009088","24.844739322559967"," "," "," "," ","1032904704","139042816"," "," "," ","0","2","0","2","0","0","14824","14824","8","8","3","3","0","0","0","143187048","0","0"
"03/30/2016 15:15:55.813","10000000000","6950.2089756109317","3015.643701103862","3934.5652745070702","0","6936584192","6480187392","26082009088","24.845430312273955","518.74604950181106","0","0","0","1032900608","139022336","30.05839313353032","66.858705137994988","36.994939314459714","0","2","0","2","0","0","12712","12712","24","24","3","3","50","50","0","143187048","0","0"
"03/30/2016 15:15:56.821","10000000000","4065.2604251659263","1565.3931066158691","2499.8673185500575","0","6935539712","6478929920","26082009088","24.840609088587708","2972.0644787206238","0","0","0","1032900608","139030528","31.724336878209865","69.823182071953283","37.140692883753943","0","2","0","2","0","0","10312","10312","8","8","4","4","33","33","0","143187048","0","0"
"03/30/2016 15:15:57.842","10000000000","15293.681083069976","3644.1974455752679","11649.483637494708","0","6935543808","6482280448","26082009088","24.853455215543249","1423.0096448322668","0.97935970050396881","0.97935970050396881","0","1032892416","139010048","7.6388541361338893","16.736494812810587","19.097140237004702","0","2","0","2","0","0","37152","37152","24","24","18","18","42","42","0","143640488","0","0"
"03/30/2016 15:15:58.950","10000000000","6166.1054785752431","3844.2279143466317","2321.8775642286109","0","6935580672","6480510976","26082009088","24.846670952896801","416.90922451364878","0","0","0","1032892416","139034624","9.1507726483669316","31.72118708706747","14.078104824896572","0","2","0","2","0","0","21280","21280","8","8","17","17","33","25","0","143867208","0","0"
"03/30/2016 15:15:59.966","10000000000","7913.5727615612968","3302.243360079372","4611.3294014819248","0","6935572480","6480932864","26082009088","24.848288497000006","566.94252620140639","0","0","0","1032892416","139030528","7.6764469222369094","29.376688315420431","21.494051382263351","0","2","0","2","0","0","17656","17656","16","16","8","8","28","25","0","143980560","0","0"
"03/30/2016 15:16:00.976","10000000000","7229.6397191550068","2162.450153145473","5067.1895660095342","0","6937333760","6475612160","26082009088","24.827888596125621","564.8930280902473","0","0","0","1032900608","139018240","10.048608617829991","25.021888296799656","15.459405496516752","0","2","0","2","0","0","22664","22664","8","8","4","4","33","25","0","144037240","0","0"
"03/30/2016 15:16:01.985","10000000000","11901.268527165248","3392.2926279029598","8508.9758992622883","0","6937866240","6477004800","26082009088","24.833228062097362","909.76471878904977","0","0","0","1032892416","139055104","10.048618527641786","19.611091418112892","19.324251915740042","0","2","0","2","0","0","25728","25728","16","16","3","3","28","25","0","144065584","0","0"
"03/30/2016 15:16:03.093","10000000000","8386.7443412940174","2209.2704344654849","6177.4739068285317","0","6937767936","6474055680","26082009088","24.821920957686615","1130.8071300593353","28.879352084516146","3.6099190105645182","0","1032900608","139038720","11.262483859917257","29.609475875517145","18.301536272365542","0","2","0","2","0","0","28016","28016","8","8","3","3","33","25","0","144079752","0","0"
"03/30/2016 15:16:04.200","10000000000","15342.851958728919","8319.8935862850722","7022.9583724438471","0","6938021888","6476709888","26082009088","24.832097351656287","1109.9814608710763","0","0","0","1032892416","139055104","183.18068825457109","76.750138897582687","65.522327622702946","0","2","0","2","0","0","18848","18848","16","16","3","3","30","28","0","144086840","0","0"
"03/30/2016 15:16:07.220","10000000000","4758.9153924242755","1550.5462174022739","3208.3691750220014","0","6938013696","6475689984","26082009088","24.828186978047569","1031.3797709178054","0","0","0","1032892416","139063296","4.6485715666843914","72.625078551747464","5.1650795185382128","0","2","0","2","0","0","29824","29824","8","8","11","11","33","28","0","144090384","0","0"
