"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time","\\dcnds0005337\ica session(_server total)\latency - last recorded","\\dcnds0005337\ica session(console (yuaaron))\latency - last recorded","\\dcnds0005337\ica session(_server total)\latency - session average","\\dcnds0005337\ica session(console (yuaaron))\latency - session average","\\dcnds0005337\ica session(_server total)\latency - session deviation","\\dcnds0005337\ica session(console (yuaaron))\latency - session deviation","\\dcnds0005337\ica session(_server total)\output session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\output session bandwidth","\\dcnds0005337\ica session(_server total)\input session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\input session bandwidth","\\dcnds0005337\ica session(_server total)\output session compression","\\dcnds0005337\ica session(console (yuaaron))\output session compression","\\dcnds0005337\ica session(_server total)\input session compression","\\dcnds0005337\ica session(console (yuaaron))\input session compression","\\dcnds0005337\ica session(_server total)\output session line speed","\\dcnds0005337\ica session(console (yuaaron))\output session line speed","\\dcnds0005337\ica session(_server total)\input session line speed","\\dcnds0005337\ica session(console (yuaaron))\input session line speed"
"03/30/2016 18:19:09.844","10000000000"," "," "," ","0","4087586816","9446739968","26082009088","36.219372273535186"," "," "," "," ","983666688","139653120"," "," "," ","0","2","0","2","0","0","138592","138592","2536","2536","55","55","124","124","0","168006976","0","0"
"03/30/2016 18:19:10.858","10000000000","10159.183218236354","6344.8053607195407","3814.3778575168139","0","4090105856","9443160064","26082009088","36.205646705125474","820.46597142036956","0","0","0","983666688","139669504","2.3074812834298424","23.084121568119322","20.767282246134361","0","2","0","2","0","0","74136","74136","3200","3200","55","55","125","125","0","167423984","0","0"
"03/30/2016 18:19:11.868","10000000000","10876.020195722856","7468.9787591147506","3407.0414366081063","0","4088938496","9443352576","26082009088","36.206384807774512","2032.9471986729554","3.957074839266093","0.98926870981652326","0","983666688","139681792","4.6333650637603379","25.866158979834598","21.622370297548244","0","2","0","2","0","0","40592","40592","3848","3848","57","57","125","125","0","167132488","0","0"
"03/30/2016 18:19:12.894","10000000000","34374.313201144243","6062.8433506755227","28311.469850468719","0","4089298944","9444261888","26082009088","36.209871164967829","3998.6684755741908","0","0","0","983666688","139644928","6.0817200553471968","14.855919225139258","18.24516016604159","0","2","0","2","0","0","108952","108952","3576","3576","55","55","128","128","0","173691144","0","0"
"03/30/2016 18:19:14.007","10000000000","12283.208293484204","6297.0764202841538","5986.1318732000491","0","4089741312","9443885056","26082009088","36.208426368293125","539.2101972556718","0","0","0","983666688","139665408","2.1022246382729204","28.524209573651802","17.518580576803057","0","2","0","2","0","0","68016","68016","3664","3664","56","56","122","122","0","210136248","0","0"
"03/30/2016 18:19:15.020","10000000000","32201.432625891688","11731.255750167622","20470.176875724068","0","4088963072","9444548608","26082009088","36.210970466785533","931.58519346594255","0","0","0","983650304","139657216","8.4774724108616812","19.078714658178452","20.037650385159111","0","2","0","2","0","0","88832","88832","5168","5168","45","45","121","121","0","195193024","0","0"
"03/30/2016 18:19:16.131","10000000000","12474.127369130121","5554.3574568801478","6919.7699122499725","0","4087922688","9445969920","26082009088","36.216419862939048","1098.990512858639","0","0","0","983650304","139673600","7.7220450772204501","31.90556731905567","15.444099154440991","0","2","0","2","0","0","58416","58416","4592","4592","45","45","119","119","0","187721416","0","0"
"03/30/2016 18:19:17.140","10000000000","9417.0106239460874","4314.5192344003071","5102.4913895457794","0","4090646528","9442738176","26082009088","36.204029161022277","983.2306640305776","0.99115994357921133","0.99115994357921133","0","983650304","139706368","7.7297027482583758","14.200294539426139","16.232370816436692","0","2","0","2","0","0","42192","42192","3144","3144","47","47","116","116","0","183985608","0","0"
"03/30/2016 18:19:18.250","10000000000","2611.4680987702068","2173.0727302417372","438.3953685284697","0","4090437632","9442353152","26082009088","36.202552955724201","653.54217156400205","0","0","0","983650304","139689984","2.8105477740514235","33.249494870332782","21.781749752952635","0","2","0","2","0","0","21296","21296","1688","1688","47","47","117","117","0","182117712","0","0"
"03/30/2016 18:19:19.261","10000000000","59256.216344630979","7418.0392777953748","51838.177066835604","0","4090318848","9442922496","26082009088","36.20473585504795","706.76274944567626","0","0","0","983650304","139653120","8.4858576456894372","22.855884540131544","14.657376992271098","0","2","0","2","0","0","196328","196328","2144","2144","47","47","116","116","0","181151368","0","0"
"03/30/2016 18:19:20.275","10000000000","14592.748612934492","6730.3358077630701","7862.4128051714224","0","4089417728","9444048896","26082009088","36.209054540760384","1645.8506173123171","0","0","0","983642112","139636736","5.3841065597582256","17.700005147414256","21.536445960926589","0","2","0","2","0","0","115240","115240","2464","2464","38","38","120","120","0","180667056","0","0"
"03/30/2016 18:19:21.382","10000000000","12861.065981658481","8011.2933130586516","4849.7726685998305","0","4091531264","9441701888","26082009088","36.200055970166837","855.41715722928654","0","0","0","983642112","139624448","4.9317922769601994","26.727724698171549","13.386285581017326","0","2","0","2","0","0","65352","65352","4000","4000","41","41","129","129","0","180423768","0","0"
"03/30/2016 18:19:22.390","10000000000","12600.429200259627","7441.0186924222535","5159.4105078373732","0","4091060224","9442234368","26082009088","36.202097530685442","1587.2056936242641","0","0","0","983642112","139644928","3.8686805922582344","21.852556807811286","17.022216429150735","0","2","0","2","0","0","42208","42208","3848","3848","49","49","125","125","0","180184520","0","0"
"03/30/2016 18:19:23.417","10000000000","99215.976584830933","33149.552086757001","66066.424498073917","0","4082782208","9472270336","26082009088","36.317257248246534","19889.731252054204","3.894220509457504","3.894220509457504","0","983703552","139628544","19.744987526563797","52.915798975117092","34.933439470074411","0","2","0","2","0","0","141600","141600","3120","3120","58","58","125","125","0","180465520","0","0"
"03/30/2016 18:19:24.459","10000000000","58318.378488281771","36586.317177942772","21732.061310338995","0","4026298368","9531158528","26082009088","36.543038137292747","26813.65417093131","0.95951526823873001","0.95951526823873001","0","983699456","139632640","38.173015711864515","74.551326057413462","44.160929396503725","0","2","0","2","0","0","115912","115912","1584","1584","59","59","126","125","0","180488416","0","0"
"03/30/2016 18:19:25.596","10000000000","19289.948324368834","14147.897521434743","5142.0508029340917","0","4020310016","9535119360","26082009088","36.558224206688841","20650.898297360971","0","0","0","983080960","140025856","33.641213343454382","69.791559576436725","32.268111217047306","0","2","0","2","0","0","65704","65704","848","848","60","60","122","121","0","180382272","0","0"
"03/30/2016 18:19:26.655","10000000000","9573.338149298901","3883.2030064629012","5690.1351428360003","0","4014858240","9541632000","26082009088","36.583194062262571","24646.856755549394","0.94504818847965466","0.94504818847965466","0","982269952","139632640","39.033178835090993","69.068050702011945","25.77661969402682","0","2","0","2","0","0","33976","33976","464","464","60","60","113","113","0","180211600","0","0"
"03/30/2016 18:19:27.664","10000000000","11873.968261959046","10729.381937258437","1144.5863247006089","0","4012744704","9542807552","26082009088","36.587701199715191","4248.3476831095331","0","0","0","981319680","139657216","6.9567895649543914","27.340146125442089","19.32443417690698","0","2","0","2","0","0","17504","17504","248","248","58","58","114","110","0","180010944","0","0"
"03/30/2016 18:19:28.674","10000000000","2196.564509753825","1898.6078096925808","297.95670006124442","0","4014731264","9540796416","26082009088","36.579990382679526","1720.4277232772185","0","0","0","981323776","139595776","4.6336471916119644","25.089365451827206","20.851407411807806","0","2","0","2","0","0","9544","9544","168","168","57","57","100","100","0","179794088","0","0"
"03/30/2016 18:19:29.683","10000000000","1653.8449914211124","1224.7767581764499","429.06823324466251","0","4019949568","9535430656","26082009088","36.559417734376645","1014.7017802368","0","0","0","981323776","139603968","6.9567374283384344","21.930007197496305","15.459405496516752","0","2","0","2","0","0","5192","5192","96","96","56","56","100","100","0","179802064","0","0"
"03/30/2016 18:19:30.692","10000000000","1963.7206330337463","1779.3430269033693","184.37760613037699","0","4019376128","9536188416","26082009088","36.562323032037739","1690.1280561951223","0","0","0","981311488","139608064","5.4107869688749659","14.200294539426139","18.551286595820102","0","2","0","2","0","0","3168","3168","80","80","53","53","78","78","0","179805984","0","0"
"03/30/2016 18:19:31.805","10000000000","6098.5503454737127","3124.7433856154353","2973.8069598582779","0","4020756480","9535053824","26082009088","36.55797293770194","1426.7085958474154","0","0","0","981319680","139644928","2.8029721735822823","27.823471022170022","16.117094490011915","0","2","0","2","0","0","1968","1968","56","56","53","53","87","77","0","179807880","0","0"
"03/30/2016 18:19:32.815","10000000000","2341.073757978706","1671.9127176431434","669.16104033556246","0","4025970688","9528983552","26082009088","36.534699147789823","1088.871515338933","15.838131132202662","1.9797663915253327","0","981303296","139653120","1.5444099154440993","9.6520149965201529","8.4942495849424962","0","2","0","2","0","0","1680","1680","56","56","51","51","63","58","0","179809776","0","0"
"03/30/2016 18:19:33.833","10000000000","3012.6343026380246","1766.1286195445609","1246.5056830934636","0","4023328768","9532026880","26082009088","36.546367451369242","4413.3570008975039","0","0","0","981303296","139640832","6.1290923952791365","23.386345059010793","18.387277185837409","0","2","0","2","0","0","1576","1576","40","40","52","52","71","62","0","179811672","0","0"
"03/30/2016 18:19:34.863","10000000000","1809.751609649782","1642.7573624074203","166.99424724236187","0","4021456896","9533812736","26082009088","36.553214531262419","1540.8131998466761","0","0","0","981303296","139608064","10.600949613776486","32.608253737733015","20.444693394738195","0","2","0","2","0","0","1584","1584","48","48","50","50","54","54","0","179813576","0","0"
"03/30/2016 18:19:35.877","10000000000","7005.6932730048311","4391.5107853037753","2614.1824877010563","0","4020776960","9534238720","26082009088","36.554847779677303","2042.7926574334415","0","0","0","981303296","139534336","3.0796722894344328","20.698433611722734","26.947127597210663","0","2","0","2","0","0","848","848","32","32","54","54","66","57","0","179815600","0","0"
"03/30/2016 18:19:36.986","10000000000","5334.9751046520987","3348.9032229202439","1986.0718817318548","0","4020957184","9533358080","26082009088","36.551471352665757","4319.3906637665086","0","0","0","981229568","139591680","5.626164164467232","25.453324820809176","19.691574575635311","0","2","0","2","0","0","792","792","40","40","58","58","50","50","0","179817624","0","0"
"03/30/2016 18:19:38.098","10000000000","1792.024940527341","1632.8737039626949","159.15123656464593","0","4020776960","9534193664","26082009088","36.554675032248809","881.17633804154241","0","0","0","981229568","139624448","6.3123633679797493","22.84894711967652","16.131588280020921","0","2","0","2","0","0","752","752","16","16","60","60","40","40","0","179819648","0","0"
"03/30/2016 18:19:39.208","10000000000","2502.6506205141136","1568.435828047182","934.2147924669315","0","4020727808","9534001152","26082009088","36.553936929599764","2640.4855898944807","0.90088215281285589","0.90088215281285589","0","981221376","139563008","6.3237279875616048","26.223125435204231","21.079108305385677","0","2","0","2","0","0","3280","3280","24","24","28","28","37","37","0","179821672","0","0"
"03/30/2016 18:19:40.328","10000000000","1795.9196491452831","1220.4759463640075","575.44370278127553","0","4020854784","9534144512","26082009088","36.55448658050863","2432.9224457124624","0","0","0","981221376","139599872","14.623635850700644","56.825469238790404","43.870889696744612","0","2","0","2","0","0","1520","1520","8","8","27","27","25","25","0","179821672","0","0"
"03/30/2016 18:19:41.497","10000000000","3917.0841622682929","2861.6285739647951","1055.4555883034975","0","4013514752","9540653056","26082009088","36.579440731770667","3710.7866790719077","0","0","0","981225472","139636736","15.345009553792268","51.296256174211493","26.686980574825327","0","2","0","2","0","0","720","720","16","16","25","25","28","25","0","179821672","0","0"
