"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time","\\dcnds0005337\ica session(_server total)\latency - last recorded","\\dcnds0005337\ica session(console (yuaaron))\latency - last recorded","\\dcnds0005337\ica session(_server total)\latency - session average","\\dcnds0005337\ica session(console (yuaaron))\latency - session average","\\dcnds0005337\ica session(_server total)\latency - session deviation","\\dcnds0005337\ica session(console (yuaaron))\latency - session deviation","\\dcnds0005337\ica session(_server total)\output session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\output session bandwidth","\\dcnds0005337\ica session(_server total)\input session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\input session bandwidth","\\dcnds0005337\ica session(_server total)\output session compression","\\dcnds0005337\ica session(console (yuaaron))\output session compression","\\dcnds0005337\ica session(_server total)\input session compression","\\dcnds0005337\ica session(console (yuaaron))\input session compression","\\dcnds0005337\ica session(_server total)\output session line speed","\\dcnds0005337\ica session(console (yuaaron))\output session line speed","\\dcnds0005337\ica session(_server total)\input session line speed","\\dcnds0005337\ica session(console (yuaaron))\input session line speed"
"03/30/2016 15:20:58.132","10000000000"," "," "," ","0","6705168384","6770438144","26082009088","25.958269246654748"," "," "," "," ","1033465856","139087872"," "," "," ","0","2","0","2","0","0","8162600","8162600","8","8","86","86","20","16","0","120970344","0","0"
"03/30/2016 15:20:59.247","10000000000","100973.23295497142","3797.9078953079556","97175.325059663475","0","6655336448","6819143680","26082009088","26.145009216860526","38879.45664537925","10.761486362147691","1.7935810603579485","0","1033531392","139120640","14.689203725367372","53.134435435380233","29.378416418447838","0","2","0","2","0","0","4481576","4481576","56","56","92","92","70","70","0","134638264","0","0"
"03/30/2016 15:21:00.260","10000000000","13081.880608194913","1194.4669133652162","11887.413694829696","0","6630653952","6843068416","26082009088","26.236738101392689","18148.986943983058","0","0","0","1033539584","139124736","5.3894314418508786","43.026062645462993","37.725980610231183","0","2","0","2","0","0","2285120","2285120","24","24","90","90","60","60","0","141472232","0","0"
"03/30/2016 15:21:01.275","10000000000","2206191.4229471814","44284.542544113618","2161906.8804030679","0","6641180672","6832128000","26082009088","26.194791884891167","26539.398396957287","23.643116611988674","2.9553895764985842","0","1033498624","139124736","42.262049657103255","80.02157419726008","37.651653553856434","0","2","0","2","0","0","9318528","9318528","32","32","91","91","50","50","0","190913192","0","0"
"03/30/2016 15:21:02.310","10000000000","342137.4831068911","9585.8795725350537","332551.60353435605","0","6649901056","6822752256","26082009088","26.158844715452005","21438.337762513162","7.7258751340197893","0.96573439175247366","0","1033498624","139112448","22.606579921717973","45.744208187876865","24.113685249832507","0","2","0","2","0","0","5898184","5898184","48","48","91","91","120","120","0","203747120","0","0"
"03/30/2016 15:21:03.345","10000000000","725537.00391236285","16387.290189768784","709149.71372259408","0","6654840832","6818344960","26082009088","26.141946876082617","1905.0043623730035","31.895050207158352","4.8325833647209624","0","1033506816","139079680","14.31750544752288","29.166049578617013","23.360127755340407","0","2","0","2","0","0","5411248","5411248","160","160","94","94","105","105","0","176091432","0","0"
"03/30/2016 15:21:04.454","10000000000","659976.33807773748","14804.927968521928","645171.41010921553","0","6642225152","6831833088","26082009088","26.193661174450089","15974.14136285749","0","0","0","1033506816","139120640","11.252328328934464","57.100493737821893","37.273342097710874","0","2","0","2","0","0","5605624","5605624","80","80","91","91","100","100","0","195429360","0","0"
"03/30/2016 15:21:05.486","10000000000","2055205.9897008783","41739.606588004419","2013466.3831128739","0","6651023360","6820245504","26082009088","26.14923367670287","28104.455295857304","7.7505478426301639","0.96881848032877049","0","1033506816","139132928","31.741215413342388","62.968586862244003","30.985467344738392","0","2","0","2","0","0","10213968","10213968","64","64","90","90","80","72","0","176337384","0","0"
"03/30/2016 15:21:06.495","10000000000","181566.56369953582","6511.5358678753055","175055.02783166053","0","6651576320","6819655680","26082009088","26.146972255820728","17223.646868544103","0","0","0","1033498624","139124736","14.686430266785017","56.713664609753103","51.789013368237015","0","2","0","2","0","0","5705560","5705560","56","56","82","82","133","114","0","136540584","0","0"
"03/30/2016 15:21:07.604","10000000000","48268.721520412888","2260.4689602987896","46008.252560114095","0","6651899904","6818656256","26082009088","26.143140403770417","2846.549863447658","0","0","0","1033494528","139137024","14.065410411168081","49.364522519794903","26.724279781219352","0","2","0","2","0","0","3054208","3054208","48","48","72","72","77","77","0","150099448","0","0"
"03/30/2016 15:21:08.621","10000000000","176121.76440044295","5511.3401729064872","170610.42422753645","0","6639714304","6835056640","26082009088","26.206020467743503","20046.515711059328","0","0","0","1033502720","139112448","18.423472613368585","57.011897235473306","38.38223461118455","0","2","0","2","0","0","2183808","2183808","24","24","79","79","75","60","0","123998912","0","0"
"03/30/2016 15:21:09.630","10000000000","201357.76606631372","5821.3759259050039","195536.39014040874","0","6639915008","6836006912","26082009088","26.209663868053628","1662.9671099197474","7.9283294871024905","0.99104118588781132","0","1033494528","139108352","20.098121412488503","37.386616798274815","27.055158484761993","0","2","0","2","0","0","1777192","1777192","64","64","76","76","88","80","0","111623112","0","0"
