"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time","\\dcnds0005337\ica session(_server total)\latency - last recorded","\\dcnds0005337\ica session(console (yuaaron))\latency - last recorded","\\dcnds0005337\ica session(_server total)\latency - session average","\\dcnds0005337\ica session(console (yuaaron))\latency - session average","\\dcnds0005337\ica session(_server total)\latency - session deviation","\\dcnds0005337\ica session(console (yuaaron))\latency - session deviation","\\dcnds0005337\ica session(_server total)\output session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\output session bandwidth","\\dcnds0005337\ica session(_server total)\input session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\input session bandwidth","\\dcnds0005337\ica session(_server total)\output session compression","\\dcnds0005337\ica session(console (yuaaron))\output session compression","\\dcnds0005337\ica session(_server total)\input session compression","\\dcnds0005337\ica session(console (yuaaron))\input session compression","\\dcnds0005337\ica session(_server total)\output session line speed","\\dcnds0005337\ica session(console (yuaaron))\output session line speed","\\dcnds0005337\ica session(_server total)\input session line speed","\\dcnds0005337\ica session(console (yuaaron))\input session line speed"
"03/30/2016 16:08:13.346","10000000000"," "," "," ","0","5004894208","8484610048","26082009088","32.530507981088242"," "," "," "," ","1038499840","139952128"," "," "," ","0","2","0","2","0","0","96","96","8","8","40","40","20","16","0","162370880","0","0"
"03/30/2016 16:08:14.360","10000000000","5490.7575371422572","2473.6518597364434","3017.1056774058138","0","5004738560","8484110336","26082009088","32.528592055063086","915.29064028525499","0","0","0","1038491648","139927552","5.3841463793441608","13.853579042335229","8.460814131709105","0","2","0","2","0","0","10360","10360","0","0","35","35","0","0","0","162370880","0","0"
"03/30/2016 16:08:15.384","10000000000","2616.0165245532044","1522.3478020822865","1093.6687224709178","0","5003292672","8485605376","26082009088","32.534324128826867","3450.915415368057","15.623838892441684","1.9529798615552105","0","1038491648","139915264","3.0468650742536769","6.3088940839341472","12.949171682812832","0","2","0","2","0","0","5264","5264","16","16","35","35","42","42","0","126549256","0","0"
"03/30/2016 16:08:16.498","10000000000","4253.0093541969563","2746.7726095066878","1506.2367446902688","0","5014126592","8473223168","26082009088","32.486849994613422","2420.0323383104674","0","0","0","1038487552","139931648","1.4002280202859425","15.986318782843433","14.002280202859426","0","2","0","2","0","0","2688","2688","8","8","36","36","33","25","0","108638440","0","0"
"03/30/2016 16:08:17.606","10000000000","5025.9006709112618","3055.7909268639846","1970.1097440472768","0","5042614272","8431149056","26082009088","32.325535305020139","10092.412857389232","0","0","0","1038446592","139939840","7.7429621658772749","26.793854910537828","10.55858313085659","0","2","0","2","0","0","1400","1400","16","16","35","35","28","25","0","99683032","0","0"
"03/30/2016 16:08:18.615","10000000000","2515.1565932729172","2010.7378753943062","504.41871787861112","0","5042077696","8432189440","26082009088","32.329524200187258","2657.8605134586151","0","0","0","1038446592","139939840","3.8648464192232912","23.475947747147984","20.097227145471777","0","2","0","2","0","0","744","744","8","8","36","36","33","25","0","95205336","0","0"
"03/30/2016 16:08:19.624","10000000000","4649.8864434701354","2917.5758076675356","1732.3106358025993","0","5042057216","8432373760","26082009088","32.330230894212932","3243.6228323695123","0","0","0","1038454784","139898880","5.4107968786867602","10.33544812020285","14.686430266785017","0","2","0","2","0","0","448","448","16","16","37","37","28","25","0","92966480","0","0"
"03/30/2016 16:08:20.736","10000000000","2905.4145921412983","2597.8776715246709","307.5369206166277","0","5038923776","8435539968","26082009088","32.342370327142802","3259.7115123838462","0","0","0","1038462976","139919360","0.70136871204965834","23.550315831726177","14.027464160058814","0","2","0","2","0","0","240","240","8","8","38","38","33","25","0","91847056","0","0"
"03/30/2016 16:08:21.746","10000000000","4046.2262771031756","2826.3133338962175","1219.9129432069578","0","5037785088","8437166080","26082009088","32.348604938880385","5209.6525933704124","0","0","0","1038454784","139952128","6.1837621986066997","14.200304449237933","17.778321275900161","0","2","0","2","0","0","152","152","16","16","35","35","28","25","0","91287344","0","0"
"03/30/2016 16:08:22.855","10000000000","7283.5365925130864","5206.1327414174993","2077.403851095587","0","5037793280","8436793344","26082009088","32.347175846517359","2484.9500927167696","0.90165097703801511","0.90165097703801511","0","1038454784","139939840","1.406541041116808","21.93696770990169","11.955594341377404","0","2","0","2","0","0","88","88","8","8","39","39","33","25","0","91007488","0","0"
"03/30/2016 16:08:23.870","10000000000","81038.888262745037","5627.4132263126494","75411.475036432385","0","5036146688","8439336960","26082009088","32.35692822407163","2639.3277369207963","0.98519139116117815","0.98519139116117815","0","1038454784","139952128","6.9156138573334784","19.317900722243042","12.294415878609183","0","2","0","2","0","0","275808","275808","16","16","82","82","28","25","0","90867560","0","0"
"03/30/2016 16:08:24.880","10000000000","4926.4936651588196","2558.2917264409944","2368.2019387178248","0","5036425216","8438001664","26082009088","32.351808618463437","1261.3249456214501","0","0","0","1038454784","139952128","6.1776396617763973","10.424224904242251","13.899689238996892","0","2","0","2","0","0","145232","145232","32","32","69","69","100","100","0","116573608","0","0"
"03/30/2016 16:08:25.988","10000000000","3531.411558356057","2243.569929484579","1287.841628871478","0","5042302976","8431497216","26082009088","32.326870171513065","716.57060499225895","0","0","0","1038462976","139931648","1.4078104824896571","15.531371050620567","4.2234314474689709","0","2","0","2","0","0","72672","72672","32","32","69","69","50","50","0","162522448","0","0"
"03/30/2016 16:08:26.999","10000000000","4426.737494466578","2634.680224588687","1792.0572698778908","0","5041205248","8432467968","26082009088","32.330592093381604","1592.2804660614813","0.98899407829905672","0.98899407829905672","0","1038462976","139931648","2.3143185186921467","18.227237612539437","16.200269191676284","0","2","0","2","0","0","38192","38192","16","16","32","32","50","50","0","152261128","0","0"
"03/30/2016 16:08:28.009","10000000000","5056.2619284268148","3263.2542228499674","1793.0077055768479","0","5039140864","8433676288","26082009088","32.335224865327675","1585.0940566695381","0","0","0","1038454784","139927552","5.4054396540543967","18.918474489184746","23.166148731661487","0","2","0","2","0","0","19152","19152","24","24","32","32","37","37","0","147060504","0","0"
"03/30/2016 16:08:29.129","10000000000","121830.89543868935","56459.373972975889","65371.521465713457","0","5036961792","8436342784","26082009088","32.34544837223239","5442.6418669332988","0","0","0","1038479360","139968512","16.016353721770678","44.290928050052138","20.194534118016769","0","2","0","2","0","0","268920","268920","8","8","21","21","25","25","0","144390224","0","0"
"03/30/2016 16:08:30.145","10000000000","156034.99853009795","13634.116529818637","142400.88200027929","0","5033672704","8440016896","26082009088","32.359535139810774","10429.562756550069","0","0","0","1038479360","140009472","26.867569148596953","64.688344157710205","37.614594839728625","0","2","0","2","0","0","647352","647352","24","24","27","27","37","37","0","160086224","0","0"
"03/30/2016 16:08:31.154","10000000000","113597.5090501766","18033.39749506388","95564.111555112715","0","5036003328","8437923840","26082009088","32.351510236541479","11036.280557210161","0","0","0","1038471168","140005376","28.628268125568397","65.955567141698523","37.913113450559706","0","2","0","2","0","0","673592","673592","64","64","23","23","72","72","0","157759064","0","0"
"03/30/2016 16:08:32.170","10000000000","137517.23429571229","38656.768781324019","98860.46551438827","0","5034688512","8439255040","26082009088","32.356614137838001","11669.243981352036","0","0","0","1038471168","139988992","18.42507557972672","64.685271805523797","46.062688949316801","0","2","0","2","0","0","703048","703048","32","32","25","25","80","66","0","156665448","0","0"
"03/30/2016 16:08:33.189","10000000000","93744.678783786498","16479.269891104916","77265.408892681589","0","5034213376","8439218176","26082009088","32.356472799032865","10101.907271106122","0","0","0","1038471168","140009472","26.023375946174742","60.199542670556269","33.677310047990836","0","2","0","2","0","0","640360","640360","72","72","24","24","90","90","0","209948240","0","0"
"03/30/2016 16:08:34.207","10000000000","106015.09787838138","5755.9334850693558","100259.16439331202","0","5032923136","8439869440","26082009088","32.358969784590236","8894.2830158497454","0.9825765594177801","0.9825765594177801","0","1038471168","139976704","26.048642679936329","49.434987738947122","33.710008174035252","0","2","0","2","0","0","661448","661448","32","32","22","22","80","80","0","236510560","0","0"
"03/30/2016 16:08:35.318","10000000000","56201.229961064528","29318.389301299059","26882.840659765465","0","5039968256","8432136192","26082009088","32.329320044135393","2906.2773701078977","314.11917069298738","9.0005493035239947","0.90005493035239947","1038495744","139952128","7.7220540772205402","37.521603375216031","29.484189294841894","0","2","0","2","0","0","400552","400552","32","32","39","39","62","62","0","216546880","0","0"
"03/30/2016 16:08:36.426","10000000000","3487.0860946576017","2769.6343748716822","717.45171978591964","0","5039448064","8432685056","26082009088","32.331424421900728","465.66677661576671","0","0","0","1038503936","140009472","2.1117112115503249","22.570423463068856","10.55858313085659","0","2","0","2","0","0","200848","200848","16","16","39","39","50","50","0","239651736","0","0"
"03/30/2016 16:08:37.435","10000000000","4821.3499086024676","3374.449422156506","1446.9004864459614","0","5043286016","8428511232","26082009088","32.315421728297189","578.76019457838458","0","0","0","1038503936","139988992","2.3189157793834094","14.97326976915787","13.140489717133342","0","2","0","2","0","0","101016","101016","32","32","40","40","50","50","0","251125088","0","0"
"03/30/2016 16:08:38.443","10000000000","1893.764663283881","1829.2834149269129","64.48124835696818","0","5041172480","8430272512","26082009088","32.322174582320272","898.76940017558729","0","0","0","1038503936","139972608","1.5474742208318852","16.43639207507821","15.474742208318851","0","2","0","2","0","0","51584","51584","16","16","40","40","50","50","0","256782696","0","0"
"03/30/2016 16:08:39.452","10000000000","14366.309680833459","1936.3847083085177","12429.924972524941","0","5039083520","8431661056","26082009088","32.327498343980331","2048.366014367301","39.639400374790533","2.9729550281092902","0","1038553088","139956224","10.048608617829991","19.611091418112892","19.324261825551837","0","2","0","2","0","0","67968","67968","24","24","16","16","37","37","0","259565824","0","0"
"03/30/2016 16:08:40.561","10000000000","68849.32228209512","2979.2176127305647","65870.104669364548","0","5039382528","8432422912","26082009088","32.330419345953111","10293.810008151369","0","0","0","1038495744","139993088","31.647177933243647","66.94628102563955","35.163526027920199","0","2","0","2","0","0","281736","281736","8","8","20","20","25","25","0","261151088","0","0"
"03/30/2016 16:08:41.672","10000000000","63153.557645914007","4368.6385750786176","58784.919070835393","0","5049417728","8421470208","26082009088","32.288426016516539","12414.709621885961","0","0","0","1038495744","139997184","18.252117182521172","59.283738592837388","40.716261407162612","0","2","0","2","0","0","360872","360872","24","24","23","23","37","37","0","262295560","0","0"
"03/30/2016 16:08:42.785","10000000000","85108.528178074892","27529.006775721133","57579.521402353756","0","5050056704","8420974592","26082009088","32.286525794803069","9278.178389401688","0","0","0","1038495744","140034048","22.443942656094105","57.917607519823555","28.054928320117629","0","2","0","2","0","0","410680","410680","8","8","25","25","25","25","0","263440040","0","0"
"03/30/2016 16:08:43.806","10000000000","79091.522206247217","4889.8643569857777","74201.657849261435","0","5050368000","8420503552","26082009088","32.284719798959685","9038.7510723838132","0","0","0","1038503936","139997184","22.152672098118298","57.222416837650215","32.847067888705745","0","2","0","2","0","0","491360","491360","24","24","26","26","37","37","0","244762784","0","0"
"03/30/2016 16:08:44.827","10000000000","92403.767131068482","28104.236181349395","64299.530949719097","0","5048631296","8423112704","26082009088","32.294723445500857","10096.685310116114","0","0","0","1038495744","139972608","19.097140237004702","56.458536320706813","38.194270680669447","0","2","0","2","0","0","485208","485208","8","8","24","24","50","50","0","235996400","0","0"
"03/30/2016 16:08:45.841","10000000000","20561.862508298709","4555.1675264187888","16006.69498187992","0","5040721920","8428552192","26082009088","32.315578771414003","3282.9947381355591","0","0","0","1038495744","140005376","8.4607416970334519","18.469168862206487","19.228974538443591","0","2","0","2","0","0","296496","296496","24","24","26","26","50","50","0","265351208","0","0"
"03/30/2016 16:08:46.949","10000000000","6712.7429680881669","4925.1446592048951","1787.5983088832718","0","5037654016","8430387200","26082009088","32.322614303047359","1560.2006441490039","0","0","0","1038503936","139984896","4.2234314474689709","24.682134674619181","11.966384588977926","0","2","0","2","0","0","150024","150024","8","8","26","26","50","50","0","247368288","0","0"
"03/30/2016 16:08:47.959","10000000000","4808.6247541111661","3901.748024696748","906.87672941441804","0","5032046592","8439066624","26082009088","32.355891739500649","19765.160508765766","0","0","0","1038508032","139968512","26.254968562549685","37.451403374514037","20.849538808495389","0","2","0","2","0","0","76464","76464","16","16","26","26","42","37","0","238436920","0","0"
"03/30/2016 16:08:49.069","10000000000","3659.7726832476656","3242.6198638622227","417.15281938544291","0","5030670336","8440426496","26082009088","32.361105570978935","7723.1835157062997","0","0","0","1038508032","139960320","30.91820628347255","59.946864628402395","20.377904182462373","0","2","0","2","0","0","38968","38968","8","8","26","26","25","25","0","234270704","0","0"
"03/30/2016 16:08:50.104","10000000000","11566.494020277996","6222.9147082310137","5343.5793120469825","0","5037326336","8433950720","26082009088","32.336277054210342","8454.5540451986126","0","0","0","1038508032","140017664","28.6079604324716","45.795443391106438","30.113642560496423","0","2","0","2","0","0","23288","23288","16","16","21","21","28","25","0","231888128","0","0"
"03/30/2016 16:08:51.256","10000000000","58363.128937141773","5896.8625876385149","52466.266349503254","0","5030043648","8455352320","26082009088","32.418332082746645","12513.892983932352","0","0","0","1038508032","139948032","17.617812501981774","58.665905781272443","29.137155789199532","0","2","0","2","0","0","227112","227112","32","32","57","57","44","40","0","228883088","0","0"
"03/30/2016 16:08:52.265","10000000000","5670.7564549320023","4218.1391278430083","1452.6173270889944","0","5027020800","8456257536","26082009088","32.421802735628283","2355.3010821899998","0","0","0","1038516224","139952128","4.6378216489550255","21.157031967764574","17.005346046168427","0","2","0","2","0","0","114864","114864","16","16","56","56","40","40","0","227380560","0","0"
"03/30/2016 16:08:53.275","10000000000","7287.9535569138325","4294.6692182928928","2993.2843386209406","0","5025292288","8457265152","26082009088","32.425665996301952","1179.4729678671918","0.99115375451024523","0.99115375451024523","0","1038508032","139956224","6.1837621986066997","8.7895075705511694","12.367524397213399","0","2","0","2","0","0","59440","59440","24","24","55","55","37","37","0","226331480","0","0"
"03/30/2016 16:08:54.384","10000000000","23021.488285297663","4579.5918455673991","18441.896439730266","0","5041709056","8442195968","26082009088","32.367889833625377","19284.959715100518","0","0","0","1038508032","139898880","9.1425212753747171","38.815460203303388","21.098115616752121","0","2","0","2","0","0","99504","99504","8","8","51","51","25","25","0","225509120","0","0"
"03/30/2016 16:08:55.393","10000000000","6016.0817235955246","3502.4454698468676","2513.6362537486571","0","5041176576","8442560512","26082009088","32.369287517365045","537.99940314762353","0","0","0","1038516224","139931648","4.6378216489550255","20.384066647844634","14.686430266785017","0","2","0","2","0","0","52328","52328","48","48","50","50","66","66","0","230565256","0","0"
"03/30/2016 16:08:56.402","10000000000","4194.9913666641523","3337.5557494230152","857.43561724113704","0","5035618304","8445382656","26082009088","32.380107788113662","1779.3028126564634","0","0","0","1038516224","139919360","2.3189058695716156","17.292175638729489","15.459405496516752","0","2","0","2","0","0","28552","28552","24","24","49","49","75","60","0","199629736","0","0"
"03/30/2016 16:08:57.410","10000000000","19107.866395718935","17058.398429071891","2049.4679666470415","0","5028876288","8449413120","26082009088","32.395560830808343","2484.9551096083442","0","0","0","1038508032","139919360","9.284845324991311","13.341443633414441","13.927267987486966","0","2","0","2","0","0","15800","15800","24","24","47","47","37","37","0","183864152","0","0"
"03/30/2016 16:08:58.529","10000000000","189023.18378670659","132235.15646931008","56788.027317396518","0","5019467776","8461328384","26082009088","32.441244673490083","21567.16455224227","0","0","0","1038508032","139870208","19.498175182481752","54.736383504506691","27.158177039438915","0","2","0","2","0","0","204552","204552","8","8","52","52","25","25","0","175683544","0","0"
"03/30/2016 16:08:59.558","10000000000","25014.669456513777","12972.730713129622","12041.938743384155","0","5019836416","8460918784","26082009088","32.439674242321928","7638.913406876597","0","0","0","1038516224","139866112","10.621574029367491","26.407660790341204","14.414988462243269","0","2","0","2","0","0","120504","120504","48","48","40","40","66","66","0","133983920","0","0"
"03/30/2016 16:09:00.566","10000000000","2472.0959197025149","1886.808362469576","585.28755723293898","0","5018337280","8461398016","26082009088","32.441511646788676","762.85785002055934","0","0","0","1038516224","139886592","3.0949484416637705","13.341443633414441","10.832319545823195","0","2","0","2","0","0","60704","60704","24","24","40","40","75","60","0","113428392","0","0"
"03/30/2016 16:09:01.575","10000000000","2963.1500088250341","2218.8939363743316","744.2560724507025","0","5025284096","8454701056","26082009088","32.415835097189273","3135.5875009773936","0","0","0","1038516224","139857920","4.6378216489550255","14.97326976915787","9.2756432979100509","0","2","0","2","0","0","32016","32016","32","32","42","42","50","50","0","102887976","0","0"
"03/30/2016 16:09:02.585","10000000000","10443.21797247319","3055.3442039298698","7387.8737685433207","0","5023281152","8456085504","26082009088","32.421143154537653","4563.2149824733533","0","0","0","1038508032","139841536","7.7220495772204956","11.968634819686352","15.444099154440991","0","2","0","2","0","0","33720","33720","16","16","25","25","50","50","0","97614224","0","0"
"03/30/2016 16:09:03.694","10000000000","4385.9435382868505","3378.8009480135738","1007.1425902732768","0","5023145984","8457068544","26082009088","32.424912189341235","1053.1679236997438","29.781098099478616","4.512287590830093","0","1038516224","139837440","2.1117202359186464","15.531371050620567","13.374204095835903","0","2","0","2","0","0","17528","17528","24","24","26","26","50","50","0","94973808","0","0"
"03/30/2016 16:09:04.802","10000000000","3952.0070144066081","2818.35278868568","1133.654225720928","0","5029822464","8457306112","26082009088","32.425823039418766","790.94252661674921","0","0","0","1038508032","139857920","0","20.458712251518531","10.558574106488267","0","2","0","2","0","0","9384","9384","8","8","26","26","50","50","0","93531760","0","0"
"03/30/2016 16:09:05.820","10000000000","1920.0451534876627","1620.3451679125669","299.69998557509575","0","5030027264","8457740288","26082009088","32.427487696457014","919.73503769931028","251.55146330237545","0","0.98262290352490411","1038508032","139825152","1.5323531705657274","14.95439412224524","14.557360031731296","0","2","0","2","0","0","5312","5312","16","16","28","28","37","37","0","92688904","0","0"
"03/30/2016 16:09:06.842","10000000000","16636.411237298733","7955.8641711495611","8680.5470661491709","0","5028589568","8456179712","26082009088","32.421504353706325","4598.4601515359855","0","0","0","1038508032","139825152","7.6317284139657788","11.471950397996977","13.7371111451384","0","1","0","1","0","0","20608","20608","1960","1960","40","40","132","132","0","92145640","0","0"
"03/30/2016 16:09:07.957","10000000000","50374.280093382236","16380.391239344603","33993.888854037628","0","5025955840","8458108928","26082009088","32.428901084508354","6620.5427445017058","0","0","0","1038520320","139849728","6.9948610520113901","35.6472783214952","19.585610945631895","0","1","0","1","0","0","119424","119424","2080","2080","54","54","124","124","0","92407024","0","0"
"03/30/2016 16:09:08.966","10000000000","12284.303682654861","8993.9536845577131","3290.3499980971469","0","5025914880","8457609216","26082009088","32.426985158483198","515.35602379834836","0","0","0","1038520320","139829248","3.0918810993033499","20.384066647844634","16.232370816436692","0","1","0","1","0","0","60432","60432","4208","4208","54","54","124","124","0","135261240","0","0"
"03/30/2016 16:09:09.975","10000000000","11314.699346050578","5338.0190928991569","5976.6802531514213","0","5026656256","8456085504","26082009088","32.421143154537653","1122.8554352342132","0","0","0","1038512128","139792384","7.7297027482583758","9.562472890471108","11.594559077293461","0","1","0","1","0","0","44224","44224","3472","3472","61","61","120","120","0","189857280","0","0"
"03/30/2016 16:09:11.085","10000000000","98095.547334752453","5944.1466561786228","92151.400678573831","0","5025988608","8457084928","26082009088","32.424975006587957","972.66215377869787","0","0","0","1038512128","139866112","7.7290018745873157","34.654768757358504","18.268560531334256","0","1","0","1","0","0","398376","398376","2136","2136","42","42","113","113","0","183992192","0","0"
